Year,Labor force
1991,15867850
1992,16072382
1993,16273778
1994,16515224
1995,16792468
1996,17097879
1997,17443141
1998,17814021
1999,18179270
2000,18541865
2001,18926590
2002,19314482
2003,19692815
2004,20050904
2005,20382896
2006,20703758
2007,21021772
2008,21338378
2009,21088301
2010,19990943
2011,21055801
2012,21285409
2013,21678833
2014,21981198
2015,23120551
2016,23430091
2017,23776332
2018,23771537
2019,24142655
2020,22920638
2021,23621462
2022,24366735
2023,25158403
