DATE,NGDPRSAXDCZAQ
1/1/1993,570937.3
4/1/1993,574835.4
7/1/1993,582207
10/1/1993,587176.1
1/1/1994,586899.4
4/1/1994,592625.5
7/1/1994,599289.7
10/1/1994,610426.2
1/1/1995,611952
4/1/1995,613711.2
7/1/1995,617783
10/1/1995,619861
1/1/1996,631343.9
4/1/1996,638865.5
7/1/1996,646477.5
10/1/1996,652542.5
1/1/1997,655571.8
4/1/1997,659684.9
7/1/1997,660340.8
10/1/1997,660432
1/1/1998,662167
4/1/1998,663103.5
7/1/1998,661651
10/1/1998,662288.1
1/1/1999,668653.1
4/1/1999,673974.9
7/1/1999,681334
10/1/1999,688828.6
1/1/2000,696879.9
4/1/2000,703291.1
7/1/2000,710256.4
10/1/2000,716300.4
1/1/2001,720702.2
4/1/2001,724303.5
7/1/2001,726228.4
10/1/2001,731815.4
1/1/2002,739763
4/1/2002,749149.5
7/1/2002,757628.6
10/1/2002,763932
1/1/2003,768781.2
4/1/2003,772535.7
7/1/2003,776728.1
10/1/2003,781209.3
1/1/2004,793035.1
4/1/2004,804117.4
7/1/2004,817265.7
10/1/2004,825993.5
1/1/2005,834390.5
4/1/2005,849364.1
7/1/2005,860946.2
10/1/2005,866709
1/1/2006,881938.5
4/1/2006,894464.2
7/1/2006,906818.1
10/1/2006,919357.8
1/1/2007,934285.1
4/1/2007,941942.1
7/1/2007,952981.1
10/1/2007,966485.6
1/1/2008,970544.9
4/1/2008,982394.1
7/1/2008,984741.4
10/1/2008,979135.8
1/1/2009,963904.9
4/1/2009,960596.7
7/1/2009,962824.4
10/1/2009,969246.1
1/1/2010,980554.6
4/1/2010,988785.5
7/1/2010,997588.1
10/1/2010,1006873.5
1/1/2011,1016789.2
4/1/2011,1022479.8
7/1/2011,1026710.6
10/1/2011,1033734.2
1/1/2012,1039593.8
4/1/2012,1048271.7
7/1/2012,1052533.5
10/1/2012,1057553.5
1/1/2013,1065760.3
4/1/2013,1073512.5
7/1/2013,1078605.8
10/1/2013,1084412.5
1/1/2014,1082916.7
4/1/2014,1087190.7
7/1/2014,1092415.5
10/1/2014,1100595.2
1/1/2015,1108545.4
4/1/2015,1099186.4
7/1/2015,1104137.4
10/1/2015,1108923.4
1/1/2016,1111572.2
4/1/2016,1112641.7
7/1/2016,1112506.2
10/1/2016,1113450.8
1/1/2017,1118707.7
4/1/2017,1124808.1
7/1/2017,1126876.6
10/1/2017,1131309.2
1/1/2018,1137294.2
4/1/2018,1134466.2
7/1/2018,1148418.1
10/1/2018,1151604.9
1/1/2019,1141546.4
4/1/2019,1146708.6
7/1/2019,1147913.9
10/1/2019,1147498.2
1/1/2020,1150205.5
4/1/2020,955936.5
7/1/2020,1087187
10/1/2020,1116997.6
1/1/2021,1124160.2
4/1/2021,1138750.3
7/1/2021,1117395.8
10/1/2021,1132737.6
1/1/2022,1150092
4/1/2022,1140468.4
7/1/2022,1160699.9
10/1/2022,1148001.1
1/1/2023,1152669.1
4/1/2023,1157940.6
7/1/2023,1155074.2
